,month,no_of_rainy_days
0,2012-01,16
1,2012-02,11
2,2012-03,21
3,2012-04,20
4,2012-05,19
5,2012-06,8
6,2012-07,17
7,2012-08,12
8,2012-09,10
9,2012-10,13
10,2012-11,22
11,2012-12,22
12,2013-01,15
13,2013-02,22
14,2013-03,10
15,2013-04,19
16,2013-05,17
17,2013-06,12
18,2013-07,15
19,2013-08,15
20,2013-09,19
21,2013-10,19
22,2013-11,22
23,2013-12,21
24,2014-01,5
25,2014-02,1
26,2014-03,6
27,2014-04,17
28,2014-05,18
29,2014-06,11
30,2014-07,15
31,2014-08,20
32,2014-09,9
33,2014-10,10
34,2014-11,23
35,2014-12,17
36,2015-01,6
37,2015-02,6
38,2015-03,5
39,2015-04,13
40,2015-05,12
41,2015-06,10
42,2015-07,13
43,2015-08,11
44,2015-09,8
45,2015-10,9
46,2015-11,13
47,2015-12,19
48,2016-01,15
49,2016-02,10
50,2016-03,6
51,2016-04,14
52,2016-05,12
53,2016-06,13
54,2016-07,20
55,2016-08,15
56,2016-09,15
57,2016-10,16
58,2016-11,20
59,2016-12,23
60,2017-01,21
61,2017-02,15
62,2017-03,11
63,2017-04,21
64,2017-05,15
65,2017-06,10
66,2017-07,9
67,2017-08,18
68,2017-09,19
69,2017-10,18
70,2017-11,24
71,2017-12,23
